drugs_CUI,Name
C0729502,Chemotherapeutic agent
C0016295,flunarizine
C0961485,eplerenone
C0003779,argipressin
C0673470,istradefylline
C0733758,follicle stimulating hormone
C1098320,olmesartan
C0025241,melphalan
C2606556,macitentan
C0246421,letrozole
C0728747,trastuzumab
C0022245,isoproterenol
C0069590,ORALIT
C0015620,famotidine
C0768119,lanthanum carbonate
C0025684,methoxsalen
C0053799,bisoprolol
C0120726,halofantrine
C1449680,Angiotensin II Type 1 Receptor Blockers
C0034283,pyrimethamine
C0019593,Histamine H2 Antagonists
C0042211,"Vaccines, Attenuated"
C0012191,diethylcarbamazine
C0031849,physostigmine
C1136312,"Histamine H1 Antagonists, Non-Sedating"
C3658210,Prolyl-Hydroxylase Inhibitors
C0045093,gemcitabine
C0304497,Cytotoxic agent (product)
C3658667,tralokinumab
C0032375,Oral Poliovirus Vaccine
C0039623,tetrabenazine
C4519739,anifrolumab
C0303029,iodine I-131
C0279175,Thyroid preparations
C1136535,pegfilgrastim
C0353697,carbidopa / levodopa
C0022635,ketoprofen
C0031978,pirenzepine
C0027353,nalidixic acid
C0043328,lutein
C0042874,vitamin E
C4310256,Filgotinib
C0003367,Error: 404
C0009008,clomiphene
C4055380,Biologic Disease-Modifying Antirheumatic Drug
C0113293,dexmedetomidine
C0291772,alosetron
C1831905,eltrombopag
C1532225,Error: 404
C0035100|5972,Error: 404
C4704728,Calcitonin Gene-Related Peptide Receptor Antagonists
C0036557,Sedatives
C0044410,alfacalcidol
C0386393,olmesartan medoxomil
C2976303,sofosbuvir
C0537894,caspofungin
C0936148,posaconazole
C0005301,betahistine
C0070325,peppermint oil
C0078956,anistreplase
C4723629,voxelotor
C0015846,fentanyl
C0027679,neostigmine
C0354566,intravenous heparin
C0293359,insulin lispro
C0534191,recombinant FVIIa
C0015879,Ferritin
C0006864,Cannabinoids
C0002600,amitriptyline
C0246415,docetaxel
C0039840,thiamine
C0041249,tryptophan
C0064906,nafarelin
C0795635,"insulin, regular, human"
C0246330,tolcapone
C0077274,triptolide
C0000946,acebutolol
C0042890,Vitamins
C0042071,urokinase
C0023870,lithium
C0017132,Gastric Inhibitory Polypeptide
C0047506,3-iodobenzylguanidine
C0014432,Enzyme Inhibitors
C0595267,Catechol-O-methyltransferase inhibitor
C0007158,Cardiac Glycosides
C1512474,Histone deacetylase inhibitor
C4079805,ertugliflozin
C0282556,Anti-Asthmatic Agents
C0733796,Gastrografin
C0759933,eletriptan
C0009079,clozapine
C0085208,bupropion
C3659310,bempedoic acid
C0011786,dexfenfluramine
C0038633,sucralfate
C4550368,cenobamate
C0299792,aripiprazole
C0012968,Docosahexaenoic Acids
C0165590,dorzolamide
C0005117,berberine
C0377336,Salvia miltiorrhiza root extract
